Disease ID,Disease Name,Disease Class,associated_gene_id
C0023903,Liver neoplasms,cancer,"10, 10188, 1027, 1029, 10397, 10468, 10897, 1124, 1149, 116966, 117159, 121256, 121551, 1233, 128439, 130814, 1375, 1381, 1432, 1437, 1440, 1499, 153129, 1571, 158038, 164395, 166336, 168002, 170691, 192286, 1948, 196, 201163, 2099, 2272, 22996, 23302, 23386, 23404, 23593, 25, 2705, 27232, 283927, 2878, 2944, 30061, 302, 3054, 307, 3082, 310, 3162, 325, 3265, 339896, 342945, 3439, 3481, 3558, 3592, 3593, 3697, 3725, 374955, 3845, 3856, 3875, 4057, 407021, 4609, 4645, 467, 4780, 4891, 5054, 51201, 51491, 5357, 540, 5465, 5468, 5581, 5685, 57628, 5800, 5894, 6319, 64084, 641371, 6496, 6725, 673, 6774, 6925, 7039, 7124, 7157, 7204, 7358, 79039, 79879, 8100, 81572, 83597, 84263, 8743, 8916, 9215, 9317, 9970, 9971"
C0018798,Congenital Heart Defects,cardiovascular system disease,"10265, 182, 1827, 1889, 1906, 1909, 196, 2138, 2348, 25836, 27125, 2767, 2776, 2812, 3091, 3198, 3200, 4524, 4624, 4851, 4879, 5243, 5308, 5460, 55315, 55534, 64220, 6899, 6910, 7042, 7055, 7353, 7422, 859, 865, 9314, 9464, 9839"
C0027051,Myocardial Infarction,cardiovascular system disease,"100048912, 10019, 100233226, 10891, 1152, 1158, 134, 1385, 1390, 140, 153090, 1636, 1649, 183, 1952, 2056, 2099, 2147, 2153, 2162, 221458, 221692, 23228, 2626, 2678, 2729, 2730, 2932, 3240, 3291, 3309, 3383, 3440, 348, 3553, 3557, 3569, 3586, 3690, 375056, 3816, 3939, 3957, 4049, 4306, 4313, 4318, 440823, 4625, 472, 4843, 4846, 4878, 4973, 5069, 51330, 5139, 5327, 5328, 53345, 5350, 55759, 5581, 5687, 581, 59, 596, 5972, 598, 6285, 6402, 64805, 6597, 6647, 6648, 7040, 7056, 7077, 7124, 7137, 7292, 7804, 8204, 8315, 836, 847, 8525, 8678"
C0028754,Obesity,acquired metabolic disease,"100129620, 1002, 100286844, 100506457, 100526835, 10082, 100874326, 10135, 101927414, 101927712, 101929328, 10207, 102723742, 1066, 10667, 10743, 10752, 10806, 10840, 1136, 114294, 1149, 115, 116328, 1232, 1238, 125, 126567, 1268, 1282, 129787, 130013, 132789, 133522, 134359, 1350, 1361, 1363, 137868, 1401, 142, 1431, 145264, 146513, 1489, 151742, 1520, 1528, 153, 154, 155, 1571, 158038, 161145, 161357, 1630, 1728, 1780, 1806, 181, 1826, 1892, 1947, 196475, 2033, 2065, 207, 2099, 2110, 2119, 2147, 2166, 2180, 2194, 221002, 2262, 22941, 22997, 23057, 2309, 23164, 23194, 23216, 23274, 23331, 23410, 23411, 23788, 2512, 2532, 253260, 253559, 257194, 25861, 25970, 26002, 26009, 26011, 26037, 26053, 26291, 2641, 2643, 266722, 2673, 2688, 2696, 27125, 2752, 2778, 2780, 2784, 28, 284900, 285282, 2876, 2878, 3033, 3044, 3099, 3148, 3162, 32, 3213, 3215, 3290, 3356, 3358, 3382, 3383, 338811, 34, 342346, 3428, 348, 3481, 3485, 353126, 3569, 3630, 364, 3667, 3708, 3710, 375612, 3778, 3818, 388815, 392636, 3929, 3949, 3952, 3953, 400954, 400955, 4023, 404266, 404683, 406960, 406991, 407040, 412, 4145, 4159, 4160, 4199, 4318, 4329, 4519, 4544, 4594, 4660, 4673, 4685, 47, 4808, 4814, 4855, 4864, 4886, 4889, 4915, 497258, 5054, 50650, 5079, 50859, 5101, 5105, 51057, 51181, 5122, 5126, 5167, 51738, 51741, 5209, 5346, 5367, 54, 54205, 5443, 54454, 54511, 5465, 5467, 5468, 55129, 55315, 55663, 55690, 55722, 5577, 5583, 5607, 5619, 56603, 56623, 56694, 56924, 5697, 57118, 5743, 57521, 590, 6251, 627, 63027, 6303, 6337, 63940, 641808, 64478, 645355, 64756, 6492, 650, 65065, 6521, 6546, 6580, 6647, 6648, 6710, 6720, 6905, 7018, 7021, 7037, 7124, 7133, 7291, 732275, 7350, 7351, 7352, 7364, 7385, 7436, 7442, 761, 781, 783, 79042, 79047, 79068, 79661, 79874, 79949, 80125, 80216, 815, 8165, 834, 8431, 84318, 84795, 8522, 85378, 8564, 8644, 8801, 8803, 8856, 8882, 89766, 89853, 9037, 9194, 92196, 9369, 9370, 9607, 9672, 9687, 9824, 9866, 9970"
C0005138,Berylliosis,respiratory system disease,"1636, 2730, 3115, 3116, 3123, 3559, 3569, 56244, 7040, 7124, 940"
C0036202,Sarcoidosis,immune system disease,"100196919, 102723878, 283234, 311, 3115, 3123, 3606, 56244, 64127, 6556, 6648, 7040"
C0033860,Psoriasis,integumentary system disease,"100271719, 10318, 10498, 10547, 10758, 10866, 117289, 125893, 1356, 1401, 140454, 1437, 149233, 163702, 23586, 2524, 2706, 285626, 29785, 3107, 338442, 348, 353143, 353144, 3553, 3565, 3569, 3593, 3596, 359825, 400957, 4288, 4792, 4843, 503613, 5111, 51561, 51752, 5271, 54620, 5468, 55350, 55770, 55905, 57178, 5966, 5972, 5980, 6278, 63869, 63870, 64135, 643749, 64478, 65245, 6648, 6773, 6774, 7039, 7124, 7128, 7157, 7297, 7422, 7889, 79092, 81890, 831, 84648, 847, 85463, 864, 8651, 8875, 8876, 90134, 9232, 9692, 9825, 9844"
C0027404,Narcolepsy,sleep disorder,"100216484, 100302514, 100918, 1120, 1375, 1512, 22891, 3060, 3062, 3119, 3123, 386593, 4340, 494446, 5032, 5179, 56342, 6863, 692229, 692312, 6955, 6957, 7200, 7292, 8835"
C0020437,Hypercalcemia,acquired metabolic disease,"1594, 3569, 4982, 5741, 5744, 6569, 7124, 796, 799, 846, 8600, 9365"
C0018923,Hemangiosarcoma,cancer,"1440, 1499, 2321, 2701, 285, 3265, 3725, 3791, 3845, 4609, 5335, 5787, 595, 7010, 7157, 7422, 7424, 80781"
